,,ING2,,,,,,,,0.17,,0.14
,,ING3,,,,,,,,1.00,,0.72
,,INHBA,,,,,,,,0.63,,0.27
,,INHBB,,,,,,,,0.24,,0.23
,,INHBC,,,,,,,,0.00,,0.00
,,INPP5A,,,,,,,,0.63,,0.47
,,INPP5B,,,,,,,,1.00,,0.97
,,INPP5D,,,,,,,,0.89,,0.85
,,INPP5E,,,,,,,,0.00,,0.00
,,IRGC,,,,,,,,0.14,,0.04
,,IRGQ,,,,,,,,0.98,,0.94
,,ITGA1,,,,,,,,0.74,,0.61
,,ITGA10,,,,,,,,0.84,,1.00
,,ITGA6,,,,,,,,0.35,,0.87
,,ITGA8,,,,,,,,1.00,,0.70
,,ITGAD,,,,,,,,0.67,,0.48
,,ITGAM,,,,,,,,0.39,,0.45
,,ITGB2,,,,,,,,0.21,,0.57
,,ITGB5,,,,,,,,1.00,,0.35
,,ITGB6,,,,,,,,0.12,,0.07
,,ITGB7,,,,,,,,0.24,,0.95
,,ITGB8,,,,,,,,1.00,,0.63
,,ITGBL1,,,,,,,,0.91,,0.97
,,JARID2,,,,,,,,0.59,,0.37
,,JMY,,,,,,,,1.00,,0.34
,,JUB,,,,,,,,0.00,,0.00
,,KALRN,,,,,,,,0.03,,0.01
,,KCNIP3,,,,,,,,1.00,,0.38
,,KCNMB3,,,,,,,,0.45,,0.87
,,KEL,,,,,,,,1.00,,0.84
,,KIDINS220,,,,,,,,0.84,,0.49
,,KIN,,,,,,,,0.78,,0.77
,,KLHL2,,,,,,,,0.26,,0.07
,,KLKB1,,,,,,,,0.32,,0.25
,,KLRC1,,,,,,,,0.00,,0.00
,,KLRC2,,,,,,,,0.42,,0.21
,,KLRC3,,,,,,,,0.42,,0.24
,,KLRC4,,,,,,,,0.80,,0.59
,,KLRD1,,,,,,,,0.00,,0.00
,,KLRF1,,,,,,,,0.75,,0.25
,,KLRG1,,,,,,,,0.54,,0.86
,,KLRG2,,,,,,,,0.38,,0.18
,,KPNA2,,,,,,,,0.85,,0.52
,,KRT5,,,,,,,,0.29,,0.57
,,KTI12,,,,,,,,0.62,,0.51
,,LACTB2,,,,,,,,0.49,,0.33
,,LAGE3,,,,,,,,0.00,,0.00
,,LALBA,,,,,,,,0.00,,0.00
,,LAMA1,,,,,,,,0.14,,0.58
,,LAMA3,,,,,,,,0.48,,0.92
,,LAMA4,,,,,,,,0.40,,0.75
,,LAMA5,,,,,,,,0.47,,0.28
,,LAMB1,,,,,,,,1.00,,0.87
